SA1_CODE21,Education level,Income level,Adaptive Capability Index
1156807,1103.0,894.0,0.77879804
1156808,1064.0,863.0,0.75149935
1156809,1123.0,1064.0,0.8529467
1156810,1094.0,1066.0,0.8424257
1156811,1102.0,1094.0,0.8564724
1156812,1077.0,915.0,0.77686226
1156813,1082.0,1025.0,0.821746
1156814,1083.0,1094.0,0.8490678
1156815,1062.0,1051.0,0.82410014
1156816,1122.0,936.0,0.802596
1156817,1088.0,1042.0,0.8307197
1156818,1128.0,988.0,0.8252309
1156819,1151.0,863.0,0.78540426
1156820,1115.0,891.0,0.7823036
1156821,0.0,0.0,0.0
1156901,1143.0,1046.0,0.8537152
1156902,1156.0,968.0,0.8283365
1156903,1124.0,930.0,0.8010335
1156904,1157.0,1073.0,0.86970973
1156905,1153.0,1006.0,0.8419995
1156906,1167.0,938.0,0.8209137
1156907,1166.0,929.0,0.81701106
1156908,1135.0,1008.0,0.8357653
1156909,1106.0,933.0,0.7951896
1156910,1172.0,1008.0,0.8501847
1156911,1123.0,976.0,0.8185985
1156912,1168.0,1042.0,0.8618967
1156913,1168.0,1004.0,0.8470645
1156914,1149.0,1008.0,0.8412213
1156915,1156.0,966.0,0.8275558
1156916,1103.0,985.0,0.81431717
1156917,1152.0,1012.0,0.8439517
1156918,1166.0,1183.0,0.91615236
1156919,1139.0,1005.0,0.8361532
1156920,1136.0,1048.0,0.8517678
1156921,1166.0,957.0,0.82794
1156922,1154.0,1015.0,0.8459021
1156923,1162.0,1039.0,0.8583875
1156924,1134.0,1058.0,0.8548916
1156925,1156.0,1055.0,0.8622943
1156926,1169.0,949.0,0.8259866
1156927,1123.0,973.0,0.8174276
1156928,1158.0,1148.0,0.8993735
1156929,1133.0,953.0,0.8135183
1156930,1166.0,1015.0,0.8505786
1156931,1144.0,1015.0,0.84200495
1156932,1154.0,950.0,0.82053125
1156933,1155.0,999.0,0.84004664
1156934,1149.0,930.0,0.8107763
1156935,1149.0,1029.0,0.849418
1156936,1187.0,931.0,0.82597566
1156937,1200.0,1076.0,0.88763833
1156938,1195.0,919.0,0.8244095
1156939,1178.0,1129.0,0.89975166
1156940,1173.0,1129.0,0.89780307
1157001,1154.0,896.0,0.799454
1157002,1143.0,970.0,0.82405084
1157003,1132.0,1057.0,0.85372186
1157004,1156.0,1017.0,0.8474621
1157005,1146.0,829.0,0.7701848
1157006,1202.0,994.0,0.85641146
1157007,1136.0,863.0,0.7795586
1157008,1180.0,953.0,0.8318347
1157009,1156.0,1104.0,0.88142
1157010,1123.0,858.0,0.7725408
1157011,1152.0,1046.0,0.85722256
1157012,1158.0,965.0,0.8279449
1157013,1205.0,1093.0,0.89622235
1157014,1153.0,948.0,0.8193609
1157015,1170.0,1014.0,0.85174716
1157016,1178.0,968.0,0.8369101
1157017,1172.0,985.0,0.84120727
1157018,1138.0,1151.0,0.8927502
1157019,1160.0,826.0,0.77446985
1157020,1125.0,1028.0,0.8396746
1157021,1170.0,968.0,0.83379245
1157022,1141.0,1037.0,0.8494229
1157023,1139.0,904.0,0.7967309
1157024,1143.0,928.0,0.80765736
1157025,1144.0,1103.0,0.87635314
1157026,1191.0,1007.0,0.85719883
1157027,1192.0,1169.0,0.9208204
1157028,0.0,0.0,0.0
1157101,1044.0,931.0,0.77024686
1157102,968.0,800.0,0.6894969
1157103,994.0,889.0,0.7343679
1157104,1009.0,811.0,0.7097686
1157105,1000.0,847.0,0.7203127
1157106,1015.0,1069.0,0.81280947
1157107,938.0,938.0,0.7316697
1157108,969.0,836.0,0.7039381
1157109,964.0,1038.0,0.7808342
1157110,961.0,894.0,0.723459
1157111,995.0,888.0,0.73436725
1157112,956.0,833.0,0.6977009
1157113,943.0,901.0,0.7191764
1157114,944.0,822.0,0.68873084
1157115,955.0,832.0,0.6969209
1157116,936.0,884.0,0.709813
1157117,937.0,855.0,0.6988834
1157118,969.0,959.0,0.7519475
1157119,925.0,942.0,0.72816473
1157120,888.0,850.0,0.67783594
1157121,0.0,0.0,0.0
